CandidateEnglish,Probability,Mentions,Avg_Sentiment
Ashim Ghimire,0.10798072501059564,5,0.20065522120156265
Devi Kumari Magar,0.094782573077102,3,0.0722175342846819
Devi Sharma,0.09620066150604933,6,0.04929094870271341
Dirshana Kumari Shahi,0.09520356408595063,7,0.02440841009450032
Indra Bahadur Syangtan,0.10166574706679354,7,0.10020834322370174
Jagadishwar Adhikari,0.10299448804885843,8,0.10260735883268779
Kaman Singh Chaudhary,0.10061319122049797,8,0.07467528991950516
Krishna Prasad Chapagai,0.10408334214698498,10,0.08900574279521647
Ni. Kumar Pakhrin,0.09348121978830898,3,0.056952956887167415
Risha Gole,0.10299448804885843,8,0.10260735883268779
