Page,Timestamp,Content,Reactions,Comments,Shares
officialroutineofnepalbanda,"Friday, February 20, 2026 at 7:16 PM",मन शान्त बनाउने आरती: Sandhya Aarati in Pashupatinath Mandir!Photo. Nabin Sapkota,422,28,0
officialroutineofnepalbanda,"Friday, February 20, 2026 at 7:07 PM","""म तपाईँको शासक बन्न होइन, तपाईँकै छोरा र सेवक बनेर हिंजोसम्म सडकमा ल-ड्ने म तिनै आवाजलाइ संसदसम्म पुर्याउन आएको हुँ।"" भन्दै बागलुङ - २ बाट उम्मेदवारी दिएका सोम शर्माले आफ्नो घरदैलो अभियान सन्चालन गरिरहेका छन ।",658,39,2
officialroutineofnepalbanda,"Friday, February 20, 2026 at 6:47 PM","लुकेका माया र त्यागका कथा हरेक गाउँ, शहर, टोलमा छन् , सुरुको रमाइलो देखि अन्तिम दुःख सुखमा साथ दिने सबैलाई नमन#realLove #Care",658,160,62
officialroutineofnepalbanda,"Friday, February 20, 2026 at 6:47 PM","यहि कतै बिलाउन मन छ: Beautiful Sunset view as seen from Sauraha, Chitwan .Photo: Sushil Koirala",658,102,21
officialroutineofnepalbanda,Unknown,"राम्रो पहल: Nepal’s first IT college LBEF has signed a scholarship agreement with the Nepal Police Wives Association to provide 50+ ICT scholarships for Nepal Police families, including 7 students from all provinces receiving 100 percent fee waiver (zero fee) for higher education.#CollabAdFor more details:https://lbef.org/scholarship.php",861,20,5
officialroutineofnepalbanda,"Friday, February 20, 2026 at 5:48 PM","सोलुखुम्बुबाट उम्मेदवारी दिएका ४२ वर्षीय युवा नेता असिम राई,   २०७४ र २०७९ सालको स्थानीय तह निर्वाचनमा थुलुङ दुधकोशी गाउँपालिकाको अध्यक्ष पदमा निर्वाचित भइसकेका अनुभवी जनप्रतिनिधि हुन्। राईले स्थानीय तहमा रहँदा  ५० शैय्याको सुविधासम्पन्न अस्पताल निर्माणमा सहयोग गर्नुका साथै सांस्कृतिक तथा धार्मिक स्थल संरक्षण लगायत सामाजिक क्षेत्रको लागि ठूलो भूमिका खेलेका थिए ।",861,363,80
officialroutineofnepalbanda,"Friday, February 20, 2026 at 6:04 PM","PM Sushila Karki congratulates graduated Students in PU Convocation & says, ""आज प्राप्त गर्नुभएको प्रमाणपत्र रोजगारीको आधार मात्र होइन, यो नेपाली समाज र राष्ट्रका जटिल समस्या पहिचान गरी तिनका दीर्घकालीन समाधान खोज्न सक्ने क्षमताको द्योतक बन्नुपर्छ । आजको युगमा युवा नै अबका राजनेता, प्रशासक, नीति–निर्माता र समाज रूपान्तरणका अभियन्ता हुन् । त्यसैले तपाईंहरूले कस्तो भविष्यको परिकल्पना गर्नुभएको छ, त्यसको जग आजैबाट मजबुत बनाउनुपर्नेछ ।""",861,94,7
officialroutineofnepalbanda,"Friday, February 20, 2026 at 4:16 PM","भिरकोट, स्याङ्जाका ७८ वर्षीय रामप्रसाद खनाल र टीका कुमारी खनालले घर परिवारको उपस्थितिमा विवाहको ६० औं वार्षिकोत्सब मनाउनु भएको छ ।#TogetherForever

Pic. Dr. Sukriti Acharya",66,127,8
officialroutineofnepalbanda,"Friday, February 20, 2026 at 2:36 PM",प्रधानमन्त्री सुशीला कार्कीले मुक्तिनाथ मन्दिरको दर्शन गर्नु भएको छ!,66,238,12
officialroutineofnepalbanda,"Friday, February 20, 2026 at 6:37 PM",Amazing art of Lord Ganesh.Photo. Razes Arts,66,139,16
officialroutineofnepalbanda,"Friday, February 20, 2026 at 1:17 PM","Dr. Nicholas Bhusal dressing the wo'und of inju""red GenZ youth Shantanu Dhakal. #News",62,183,47
officialroutineofnepalbanda,"Friday, February 20, 2026 at 12:21 PM",Nepali actress Niti Shah gets married with Yachnit Rana.#Congrats,62,325,12
officialroutineofnepalbanda,"Friday, February 20, 2026 at 11:55 AM",सगरमाथालाई पहिलो पटक नजिकबाट देख्न पाउँदा भावुक हुँदै पर्यटक ।Pic. Captain Andy,62,162,45
