Text,Publish_Time,Reactions,Scraped_At
"Routine of Nepal banda
26m
 
·
PM Sushila Karki congratulates graduated Students in PU Convocation & says, ""आज प्राप्त गर्नुभएको प्रमाणपत्र रोजगारीको आधार मात्र होइन, यो नेपाली समाज र राष्ट्रका जटिल … See more
All reactions:
2.2K
55
1
Like
Comment
View more comments
Updated Nepal 0.2
Welcome to the squad 
 where the degrees stacked high but the jobs playing hide-and-seek 
Sorry, bruhs
highly qualified, officially unemployed 
11m",,See who reacted to this,2026-02-20T16:29:51.105912
"Updated Nepal 0.2
Welcome to the squad 
 where the degrees stacked high but the jobs playing hide-and-seek 
Sorry, bruhs
highly qualified, officially unemployed 
11m",,0,2026-02-20T16:29:51.111885
"Routine of Nepal banda
1h
 
·
भिरकोट, स्याङ्जाका ७८ वर्षीय रामप्रसाद खनाल र टीका कुमारी खनालले घर परिवारको उपस्थितिमा विवाहको ६० औं वार्षिकोत्सब मनाउनु भएको छ ।
 #TogetherForever… See more
All reactions:
3.3K
62
1
Like
Comment
View more comments
Babita Belbase
Relationship Goal: Upgrade from Silver to Diamond ६० वर्ष wow! 
13m",,See who reacted to this,2026-02-20T16:29:51.120009
"Babita Belbase
Relationship Goal: Upgrade from Silver to Diamond ६० वर्ष wow! 
13m",,0,2026-02-20T16:29:51.124871
"Routine of Nepal banda
2h
 
·
प्रधानमन्त्री सुशीला कार्कीले मुक्तिनाथ मन्दिरको दर्शन गर्नु भएको छ! 
All reactions:
14K
169
7
Like
Comment
View more comments
JR Puzan Shrestha
RONB doesn’t post news…
 they post flashbacks... 
1h
8",,See who reacted to this,2026-02-20T16:29:51.132856
"JR Puzan Shrestha
RONB doesn’t post news…
 they post flashbacks... 
1h
8",,8 reactions; see who reacted to this,2026-02-20T16:29:51.140624
"Routine of Nepal banda
3h
 
·
Amazing art of Lord Ganesh. 
… See more
All reactions:
9.6K
100
10
Like
Comment",,See who reacted to this,2026-02-20T16:29:51.147202
"Routine of Nepal banda
4h
 
·
Dr. Nicholas Bhusal dressing the wo'und of inju""red GenZ youth Shantanu Dhakal. #News
All reactions:
13K
154
31
Like
Comment
View more comments
प्रशान्त रिजाल
Besides all the trolls, is he really a doctor 
3h
47
View all 3 replies",,See who reacted to this,2026-02-20T16:29:51.153415
"प्रशान्त रिजाल
Besides all the trolls, is he really a doctor 
3h
47",,47 reactions; see who reacted to this,2026-02-20T16:29:51.159939
"Routine of Nepal banda
5h
 
·
Nepali actress Niti Shah gets married with Yachnit Rana. 
 #Congrats
All reactions:
18K
286
10
Like
Comment
View more comments
राहुल राज
Congratulations sister! May your married life be full of joy and blessings 
4h
4",,See who reacted to this,2026-02-20T16:29:55.316090
"राहुल राज
Congratulations sister! May your married life be full of joy and blessings 
4h
4",,4 reactions; see who reacted to this,2026-02-20T16:29:55.322590
"Routine of Nepal banda
5h
 
·
सगरमाथालाई पहिलो पटक नजिकबाट देख्न पाउँदा भावुक हुँदै पर्यटक ।
… See more
All reactions:
26K
139
35
Like
Comment
View more comments
Selina Lamichhane
Jana payata mah ni Runthe 
4h
23
View all 2 replies",,See who reacted to this,2026-02-20T16:29:55.330915
"Selina Lamichhane
Jana payata mah ni Runthe 
4h
23",,23 reactions; see who reacted to this,2026-02-20T16:29:55.337954
